epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9822,0.86287,0.44989,1.4442,0.94169,1,0.995,0.80425,0.79012,0.40479,2.66422,0,0,0
2,13.6179,0.86546,0.53672,1.70573,0.94508,1,0.995,0.80425,0.79022,0.39961,2.66986,5.15585e-06,5.15585e-06,5.15585e-06
3,14.2796,0.7243,0.57061,1.10303,0.9451,1,0.995,0.80415,0.79748,0.40335,2.67975,1.01034e-05,1.01034e-05,1.01034e-05
4,14.883,0.86161,0.62603,1.99924,0.94253,1,0.995,0.8046,0.79994,0.39088,2.65487,1.48427e-05,1.48427e-05,1.48427e-05
5,15.4654,0.74722,0.55467,2.08476,0.93394,1,0.995,0.80462,0.80483,0.39474,2.64721,1.93736e-05,1.93736e-05,1.93736e-05
6,16.054,0.76427,0.60386,1.22793,0.92713,1,0.995,0.79744,0.80414,0.39772,2.65162,2.36963e-05,2.36963e-05,2.36963e-05
7,16.6274,0.7439,0.47831,1.45059,0.92421,1,0.995,0.79735,0.80017,0.39614,2.59409,2.78107e-05,2.78107e-05,2.78107e-05
8,17.1966,0.80118,0.46967,1.74099,0.91234,1,0.995,0.79728,0.80826,0.39755,2.5592,3.17167e-05,3.17167e-05,3.17167e-05
9,17.7716,0.74939,0.56137,1.92926,0.90383,1,0.995,0.79758,0.83251,0.41925,2.47755,3.54145e-05,3.54145e-05,3.54145e-05
10,18.3571,0.8605,0.54001,1.11746,0.89813,1,0.995,0.79758,0.8485,0.43326,2.42493,3.8904e-05,3.8904e-05,3.8904e-05
11,18.9161,0.75358,0.50864,1.47896,0.89612,1,0.995,0.79758,0.85605,0.4351,2.42761,4.21852e-05,4.21852e-05,4.21852e-05
12,19.4841,0.81562,0.51212,1.42921,0.87802,1,0.995,0.79758,0.86324,0.43839,2.42447,4.52581e-05,4.52581e-05,4.52581e-05
13,20.0484,0.89193,0.53123,1.74514,0.87047,1,0.995,0.79758,0.86429,0.44838,2.43812,4.81227e-05,4.81227e-05,4.81227e-05
14,20.605,0.34242,0.46539,0.99337,0.85189,1,0.995,0.79758,0.86704,0.46376,2.45194,5.0779e-05,5.0779e-05,5.0779e-05
